system,threads,log_size,prover_time_ms,verifier_time_ms,native_prover_time_ms,native_verifier_time_ms,zippel_ncloc,native_ncloc,compiler
schnorr,1,0,0.148,0.182,0.128,0.191,7,186,2.270
sumcheck,1,18,65.136,0.243,67.043,0.172,58,1544,253.006
ipa,1,18,86906.077,85306.587,89376.933,84347.604,79,166,1003.621
kzg,1,18,1618.772,1.673,1578.583,1.548,14,527,25247.897
pari,1,18,4625.735,1.309,6866.833,0.939,79,1141,17956.421
groth16,1,18,5435.494,1.315,5479.087,1.305,36,458,4.241
pst13,1,18,2250.820,11.033,4534.987,6.363,54,250,804.936
hyrax,1,18,583.076,10.669,3530.029,35.879,47,277,40549.675
spartan,1,18,875.442,330.616,833.249,246.995,461,1867,111339.550
schnorr,2,0,0.131,0.108,0.118,0.181,7,186,0.768
sumcheck,2,18,35.869,0.180,36.282,0.116,58,1544,254.540
ipa,2,18,44981.004,43769.683,45076.249,42323.545,79,166,1021.551
kzg,2,18,868.210,1.584,864.040,1.576,14,527,24673.560
pari,2,18,2738.462,1.205,3647.143,1.000,79,1141,17016.334
groth16,2,18,3186.205,1.299,3181.089,1.260,36,458,3.772
pst13,2,18,1054.861,6.705,2336.948,4.918,54,250,806.322
hyrax,2,18,536.502,8.671,753.776,29.871,47,277,37537.093
spartan,2,18,686.349,221.728,576.941,248.989,461,1867,110699.185
schnorr,4,0,0.128,0.119,0.119,0.177,7,186,1.090
sumcheck,4,18,18.917,0.151,19.335,0.104,58,1544,240.356
ipa,4,18,23297.428,22257.436,23237.321,21796.529,79,166,999.418
kzg,4,18,538.177,1.643,529.959,1.558,14,527,24716.961
pari,4,18,1540.058,1.229,1932.680,0.951,79,1141,16832.464
groth16,4,18,2499.787,1.334,2608.904,1.254,36,458,3.620
pst13,4,18,712.914,4.857,1522.380,4.372,54,250,792.582
hyrax,4,18,631.177,7.316,605.963,27.607,47,277,37515.961
spartan,4,18,556.270,143.554,445.198,250.368,461,1867,111755.170
schnorr,8,0,0.143,0.127,0.121,0.180,7,186,6.084
sumcheck,8,18,13.220,0.181,13.181,0.106,58,1544,248.642
ipa,8,18,13852.232,12839.094,13577.175,12572.937,79,166,1000.146
kzg,8,18,465.086,1.642,465.275,1.558,14,527,24400.298
pari,8,18,1330.530,1.367,1283.667,0.942,79,1141,16967.007
groth16,8,18,2280.052,1.366,2020.949,1.267,36,458,2.774
pst13,8,18,644.413,3.749,1336.492,4.182,54,250,800.845
hyrax,8,18,835.140,7.303,762.897,27.158,47,277,39395.065
spartan,8,18,558.264,147.437,389.879,248.042,461,1867,111852.556
